INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('gm58z9u', '이미선', 'eNlIkY7@naver.com', '010-3610-9139', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Hix5po9', '권영옥', 'XGwrYAm@daum.net', '010-5149-3096', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Tg9pg1a', '송경선', 'rcjIA89@yahoo.com', '010-0345-1484', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('FR1RrFz', '배수민', 'OpEpFTI@nate.com', '010-9725-3150', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('CVffmiG', '배경자', 'iGyqCkv@gmail.com', '010-9355-2644', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('rTkrB1R', '서인경', '1hEbaIR@nate.com', '010-8852-2549', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('NdH3qj7', '조재숙', 'piSMZ2O@yahoo.com', '010-6617-7179', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('Hah8gQt', '권범준', 'Eyp6q05@naver.com', '010-2924-8111', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('LTVHM1n', '권영옥', 'FtLJLMe@daum.net', '010-6863-3266', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('UbqeMVN', '윤유현', 'W0A1VI3@naver.com', '010-2804-6141', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('piSMZ2O', '전원경', 'JzPzmhe@nate.com', '010-2668-5104', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('cCrG6wA', '남궁영연', '9HmcCBa@hanmail.net', '010-5071-2061', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('BTKzTk3', '한광민', 'Ob3g9wN@naver.com', '010-7657-3867', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('1RRBmOT', '남궁다현', 'L5i6GI1@naver.com', '010-6210-4017', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('8URRlbA', '유동주', 'AmhTTDS@naver.com', '010-9524-3782', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('n2jQmww', '남궁다현', 'N2qpbZI@naver.com', '010-2441-7730', 'passwd', 0, '뉴비');
INSERT INTO 사용자 (사용자ID, 이름, 이메일, 전화번호, 비밀번호, 총작성수, 등급) VALUES ('XGg6Hv2', '설규빈', 'er5iemG@naver.com', '010-0744-1899', 'passwd', 0, '뉴비');
